ID_Encuestado,Pais,Ronda,Genero,Anio_Nacimiento,Nivel_Educativo,Situacion_Economica,Voluntariado_12m,Donacion_Politica_12m,Capacidad_Rol_Politico,Confianza_ONU,Preocupacion_Clima,Responsabilidad_Clima,Inmigracion_Economia,Inmigracion_Cultura,Inmigracion_Pais_Mejor_Peor
6315.0,AT,9,Mujer,1946.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,,,,7,7,
6334.0,AT,9,Mujer,1984.0,Vocacional avanzado,Cómodamente,,,Poco capaz,6,,,5,5,5
6364.0,AT,9,Hombre,1992.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,6,,,7,10,10
6430.0,AT,9,Mujer,1955.0,Secundaria baja,Difícil,,,Nada capaz,7,,,8,6,5
6460.0,AT,9,Hombre,1966.0,Vocacional avanzado,Cómodamente,,,Completamente capaz,8,,,6,6,6
6473.0,AT,9,Hombre,1956.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,2,,,4,5,4
6515.0,AT,9,Mujer,1994.0,Secundaria alta (alta),Saliendo adelante,,,Completamente capaz,5,,,9,10,
6522.0,AT,9,Hombre,1989.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,7,,,7,8,6
6526.0,AT,9,Hombre,1948.0,Secundaria baja,Saliendo adelante,,,Bastante capaz,6,,,5,5,7
6560.0,AT,9,Mujer,1953.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,3,,,4,3,3
6568.0,AT,9,Mujer,1988.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,3,,,3,3,4
6630.0,AT,9,Mujer,1974.0,Secundaria alta (baja),Cómodamente,,,Nada capaz,2,,,5,2,3
6671.0,AT,9,Mujer,2002.0,Secundaria baja,,,,Nada capaz,8,,,6,6,6
6696.0,AT,9,Hombre,1944.0,Máster/Doctorado,Cómodamente,,,Poco capaz,2,,,7,6,6
